54707521304;Cliente A;45;11108,00
19003628372;Cliente B;41;9756,00
54446710134;Cliente C;33;7217,00
93126907239;Cliente D;40;14353,00
34935227995;Cliente E;30;7342,00
26679245568;Cliente F;53;9491,00
47817135372;Cliente G;31;5244,00
88160205180;Cliente H;31;12817,00
13667799861;Cliente I;28;12686,00
27977151616;Cliente J;21;11092,00
56634688310;Cliente K;18;7697,00
77407950202;Cliente L;45;8877,00
76113821167;Cliente M;26;3865,00
60505933383;Cliente N;18;3978,00
38134578281;Cliente O;26;9574,00
39557597722;Cliente P;27;6476,00
43535332258;Cliente Q;34;3776,00
13897841035;Cliente R;32;7964,00
22264929711;Cliente S;34;4204,00
24246599452;Cliente T;31;4869,00
94461659861;Cliente U;22;12770,00
95029452114;Cliente V;49;11877,00
61587656636;Cliente W;43;4802,00
33660496913;Cliente X;46;8208,00
73014492090;Cliente Y;19;6177,00
46043531381;Cliente Z;20;10641,00
